"ID";"P3";"P4";"P5";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P19";"P20";"P21";"P22";"P6";"P16";"P17";"P18"
694;Sim     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Não;Não     
695;Não     ;Outros      ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;SP;Sim;Dividir de forma mais equilibrada as responsabilidades domésticas         ;Não;Não     
696;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Empregada Doméstica            ;SP;Sim;Melhorar a assistência às vítimas                                         ;Não;Em parte
697;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Superior    ;NS/NR                                      ;Profissional Liberal (Autônoma);SP;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Sim     
698;Sim     ;No trabalho ;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Aposentada                     ;SP;Não;Denunciar                                                                 ;Não;Não     
699;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Do Lar ( Dona de casa)         ;SP;Sim;Denunciar                                                                 ;Sim;Não     
700;Às vezes;Na família  ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;SP;Sim;outra opção                                                               ;Não;Em parte
701;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Superior    ;NS/NR                                      ;Funcionária de empresa privada ;SP;Sim;Estimular o debate social sobre o tema                                    ;Sim;Sim     
702;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;SP;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
703;Não     ;Na família  ;Não     ;Sim;Uso do álcool           ;Física             ;Pai        ;Sim  ;Não sofro mais violência    ;Não fez nada                    ;       ;16 a 19 anos;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);SP;Sim;Denunciar                                                                 ;Sim;Sim     
704;Não     ;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;16 a 19 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Estudante                      ;SP;Sim;Estimular o debate social sobre o tema                                    ;Não;Sim     
705;Às vezes;Na sociedade;Em parte;Sim;Uso do álcool           ;Física             ;Marido     ;Não  ;                            ;Não fez nada                    ;       ;20 a 29 anos;60 anos ou +;Não alfabetizada   ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);SP;Sim;Denunciar                                                                 ;Não;Não     
706;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 10 a 20 SM (de R$ 3.501 a R$ 7.000);Funcionária de empresa privada ;SP;Não;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Sim;Em parte
707;Não     ;Na sociedade;Sim     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;NS/NR                                      ;Do Lar ( Dona de casa)         ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
708;Não     ;Outros      ;Não     ;Sim;Falta de dinheiro       ;Física             ;Marido     ;Sim  ;Não sofro mais violência    ;Procurou ajuda da família       ;       ;20 a 29 anos;30 a 39 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Outras ocupações               ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
709;Às vezes;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Servidora Pública              ;SP;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
710;Não     ;Na sociedade;Não     ;Sim;Influência de familiares;Todas as anteriores;Marido     ;Não  ;                            ;Não fez nada                    ;       ;16 a 19 anos;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);SP;Sim;Melhorar a assistência às vítimas                                         ;Sim;Não     
711;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;NS/NR                                      ;Funcionária de empresa privada ;SP;Sim;Melhorar a assistência às vítimas                                         ;Não;Não     
712;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;SP;Sim;Denunciar                                                                 ;Sim;Sim     
713;Não     ;No trabalho ;Não     ;Sim;NS/NR                   ;Física             ;Marido     ;Sim  ;Raramente (de vez em quando);Não fez nada                    ;       ;20 a 29 anos;60 anos ou +;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;SP;Sim;Outra opção                                                               ;Não;Sim     
